bokor,kulcsszo,szandek,szerep,forras,gsc_megjelenes,gsc_pozicio,gsc_kattintas,becsult_volumen,megjegyzes
klima-tunet,büdös klíma,informacios,elsodleges,gsc,6,56.8,0,nincs adat,"a legtöbb megjelenésű lekérdezés az egész site-on; céloldal: /tudastar/miert-budos-a-klima/; változat: miért büdös a klíma"
klima-tunet,klíma gomba,informacios,masodlagos,gsc,1,10,0,nincs adat,"ugyanarra a cikkre fut; KARNYÚJTÁSNYI — saját H2 kapszulát érdemel; változat: gombás klíma"
klima-tunet,mi történik ha nem tisztíttatom a klímát,informacios,masodlagos,nincs,nincs adat,nincs adat,nincs adat,nincs adat,"valódi ügyfélkérdés a content-backlogból"
klima-tunet,klíma penész,informacios,tamogato,nincs,nincs adat,nincs adat,nincs adat,nincs adat,"a gomba rokon alakja; a szövegben természetesen"
klima-tunet,klíma allergia,informacios,tamogato,nincs,nincs adat,nincs adat,nincs adat,nincs adat,"EPA-forrású állítás már van a cikkben (allergén a szobában)"
klima-tunet,klíma fertőtlenítés,tranzakcios,tamogato,nincs,nincs adat,nincs adat,nincs adat,nincs adat,"a cikkből a /klimatisztitas felé mutató kereskedelmi híd"
klima-helyi,klímatisztítás érd,tranzakcios,kihagy,gsc,1,10,0,nincs adat,"KARNYÚJTÁSNYI de másik oldalé: /teruletek/erd/ — teendő: belső link + GBP, nem újraírás"
klima-helyi,klímatisztítás siófok,tranzakcios,kihagy,gsc,2,11,0,nincs adat,"KARNYÚJTÁSNYI de másik oldalé: /teruletek/siofok/ — teendő: belső link + GBP"
klima-karbantartas,milyen gyakran kell klímát tisztíttatni,informacios,kihagy,nincs,nincs adat,nincs adat,nincs adat,nincs adat,"külön cikk MÁR LÉTEZIK rá — linkelni kell, nem megválaszolni"
napelem-diy,napelem tisztítás házilag,informacios,kihagy,gsc,2,29,0,nincs adat,"másik oldalé: /tudastar/napelem-tisztitas-hazilag/; változatok: napelem tisztítása házilag (33.) · napelem tisztító folyadék házilag (29.) · napelem mosás (97.)"
napelem-ar,napelem tisztítás árak,tranzakcios,kihagy,gsc,1,15,0,nincs adat,"másik oldalé: /tudastar/napelem-tisztitas-arak-2026/ — karnyújtásnyi, belső link erősítés"
generikus,napelem,informacios,kihagy,gsc,3,4,0,nincs adat,"HAMIS NYERTES: 4. hely az ároldallal, de aki ezt írja be, panelt VENNI akar — nem célozzuk"
generikus,nadap,navigacios,kihagy,gsc,1,34,0,nincs adat,"Péter bázisa! de a martonvásári oldal jön be rá — a főoldal/hub nem említi elég erősen Nadapot"
